




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (8177)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of biomineral tissue development (GO:0070167)	103	63	40.92	+	1.54	1.15E-05	1.83E-04
vacuolar transport (GO:0007034)	175	107	69.53	+	1.54	1.40E-08	3.67E-07
glycerophospholipid biosynthetic process (GO:0046474)	193	118	76.68	+	1.54	1.98E-09	5.84E-08
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	108	66	42.91	+	1.54	1.07E-05	1.71E-04
telomere organization (GO:0032200)	108	66	42.91	+	1.54	1.07E-05	1.71E-04
regulation of protein catabolic process (GO:0042176)	401	245	159.33	+	1.54	3.70E-18	2.44E-16
positive regulation of angiogenesis (GO:0045766)	167	102	66.35	+	1.54	2.74E-08	6.89E-07
cardiac chamber morphogenesis (GO:0003206)	131	80	52.05	+	1.54	9.31E-07	1.84E-05
cellular response to nutrient levels (GO:0031669)	249	152	98.93	+	1.54	9.97E-12	3.84E-10
cellular response to external stimulus (GO:0071496)	77	47	30.59	+	1.54	1.66E-04	2.04E-03
negative regulation of cytoskeleton organization (GO:0051494)	154	94	61.19	+	1.54	1.24E-07	2.85E-06
post-transcriptional regulation of gene expression (GO:0010608)	531	324	210.98	+	1.54	1.63E-23	1.51E-21
regulation of cell-substrate adhesion (GO:0010810)	218	133	86.62	+	1.54	2.14E-10	7.04E-09
regulation of muscle cell differentiation (GO:0051147)	141	86	56.02	+	1.54	3.80E-07	8.08E-06
positive regulation of protein-containing complex assembly (GO:0031334)	205	125	81.45	+	1.53	9.48E-10	2.87E-08
NADH dehydrogenase complex assembly (GO:0010257)	41	25	16.29	+	1.53	6.41E-03	4.63E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	41	25	16.29	+	1.53	6.41E-03	4.63E-02
regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143)	82	50	32.58	+	1.53	1.53E-04	1.90E-03
maturation of 5.8S rRNA (GO:0000460)	41	25	16.29	+	1.53	6.41E-03	4.63E-02
response to reactive oxygen species (GO:0000302)	164	100	65.16	+	1.53	5.04E-08	1.23E-06
regulation of double-strand break repair via homologous recombination (GO:0010569)	82	50	32.58	+	1.53	1.53E-04	1.90E-03
negative regulation of cell migration (GO:0030336)	299	182	118.80	+	1.53	1.64E-13	7.63E-12
negative regulation of cell motility (GO:2000146)	314	191	124.76	+	1.53	4.26E-14	2.10E-12
hippocampus development (GO:0021766)	97	59	38.54	+	1.53	3.87E-05	5.54E-04
pallium development (GO:0021543)	199	121	79.07	+	1.53	2.18E-09	6.38E-08
cerebral cortex development (GO:0021987)	130	79	51.65	+	1.53	1.38E-06	2.64E-05
regulation of post-translational protein modification (GO:1901873)	242	147	96.15	+	1.53	4.90E-11	1.74E-09
cell cycle (GO:0007049)	1006	611	399.71	+	1.53	5.14E-43	1.11E-40
regulation of apoptotic signaling pathway (GO:2001233)	382	232	151.78	+	1.53	9.96E-17	5.77E-15
regulation of actin filament depolymerization (GO:0030834)	56	34	22.25	+	1.53	1.57E-03	1.41E-02
vesicle budding from membrane (GO:0006900)	84	51	33.38	+	1.53	1.20E-04	1.53E-03
regulation of protein kinase activity (GO:0045859)	239	145	94.96	+	1.53	6.10E-11	2.14E-09
regulation of proteolysis involved in protein catabolic process (GO:1903050)	272	165	108.07	+	1.53	3.30E-12	1.33E-10
negative regulation of proteasomal protein catabolic process (GO:1901799)	61	37	24.24	+	1.53	1.44E-03	1.31E-02
glycogen metabolic process (GO:0005977)	61	37	24.24	+	1.53	1.44E-03	1.31E-02
visual behavior (GO:0007632)	61	37	24.24	+	1.53	1.44E-03	1.31E-02
cellular response to stress (GO:0033554)	1685	1022	669.50	+	1.53	6.86E-73	3.84E-70
cellular response to oxygen levels (GO:0071453)	155	94	61.59	+	1.53	1.48E-07	3.34E-06
regulation of protein ubiquitination (GO:0031396)	193	117	76.68	+	1.53	5.01E-09	1.40E-07
regulation of cytokinesis (GO:0032465)	99	60	39.34	+	1.53	3.07E-05	4.45E-04
associative learning (GO:0008306)	99	60	39.34	+	1.53	3.07E-05	4.44E-04
regulation of protein-containing complex assembly (GO:0043254)	434	263	172.44	+	1.53	8.86E-19	6.02E-17
nuclear receptor-mediated signaling pathway (GO:0141193)	104	63	41.32	+	1.52	1.95E-05	2.97E-04
telomere maintenance (GO:0000723)	104	63	41.32	+	1.52	1.95E-05	2.97E-04
DNA repair (GO:0006281)	530	321	210.58	+	1.52	1.55E-22	1.36E-20
protein autoubiquitination (GO:0051865)	71	43	28.21	+	1.52	5.64E-04	5.95E-03
protein K63-linked ubiquitination (GO:0070534)	71	43	28.21	+	1.52	5.64E-04	5.94E-03
cellular response to mechanical stimulus (GO:0071260)	76	46	30.20	+	1.52	3.55E-04	3.96E-03
positive regulation of protein localization to cell periphery (GO:1904377)	76	46	30.20	+	1.52	3.55E-04	3.96E-03
regulation of canonical NF-kappaB signal transduction (GO:0043122)	314	190	124.76	+	1.52	1.07E-13	5.09E-12
protein ubiquitination (GO:0016567)	595	360	236.41	+	1.52	4.13E-25	4.17E-23
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	81	49	32.18	+	1.52	2.24E-04	2.68E-03
positive regulation of organelle organization (GO:0010638)	503	304	199.86	+	1.52	3.23E-21	2.62E-19
positive regulation of apoptotic signaling pathway (GO:2001235)	144	87	57.22	+	1.52	5.38E-07	1.11E-05
protein biosynthetic process (GO:0160307)	394	238	156.55	+	1.52	7.98E-17	4.68E-15
translation (GO:0006412)	394	238	156.55	+	1.52	7.98E-17	4.66E-15
positive regulation of protein serine/threonine kinase activity (GO:0071902)	53	32	21.06	+	1.52	2.86E-03	2.34E-02
protein phosphorylation (GO:0006468)	318	192	126.35	+	1.52	9.92E-14	4.73E-12
regulation of heart growth (GO:0060420)	58	35	23.04	+	1.52	1.79E-03	1.57E-02
protein acylation (GO:0043543)	58	35	23.04	+	1.52	1.79E-03	1.57E-02
ovulation cycle (GO:0042698)	63	38	25.03	+	1.52	1.12E-03	1.06E-02
mRNA transport (GO:0051028)	136	82	54.04	+	1.52	1.50E-06	2.83E-05
negative regulation of cellular component organization (GO:0051129)	753	454	299.19	+	1.52	5.19E-31	6.74E-29
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	277	167	110.06	+	1.52	5.25E-12	2.10E-10
chromosome organization (GO:0051276)	428	258	170.06	+	1.52	5.07E-18	3.34E-16
protein modification by small protein conjugation (GO:0032446)	672	405	267.00	+	1.52	1.22E-27	1.37E-25
cellular response to growth factor stimulus (GO:0071363)	453	273	179.99	+	1.52	7.56E-19	5.18E-17
negative regulation of locomotion (GO:0040013)	332	200	131.91	+	1.52	3.75E-14	1.86E-12
endothelial cell migration (GO:0043542)	83	50	32.98	+	1.52	1.78E-04	2.18E-03
response to tumor necrosis factor (GO:0034612)	166	100	65.96	+	1.52	1.01E-07	2.36E-06
endocytic recycling (GO:0032456)	93	56	36.95	+	1.52	7.17E-05	9.67E-04
blood vessel morphogenesis (GO:0048514)	442	266	175.62	+	1.51	2.71E-18	1.80E-16
negative regulation of protein phosphorylation (GO:0001933)	113	68	44.90	+	1.51	1.18E-05	1.87E-04
regulation of protein modification by small protein conjugation or removal (GO:1903320)	236	142	93.77	+	1.51	2.77E-10	8.95E-09
membraneless organelle assembly (GO:0140694)	389	234	154.56	+	1.51	3.08E-16	1.73E-14
regulation of kinase activity (GO:0043549)	261	157	103.70	+	1.51	2.93E-11	1.07E-09
cytosolic transport (GO:0016482)	138	83	54.83	+	1.51	1.76E-06	3.26E-05
angiogenesis (GO:0001525)	351	211	139.46	+	1.51	9.17E-15	4.69E-13
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	183	110	72.71	+	1.51	3.04E-08	7.64E-07
lipid translocation (GO:0034204)	60	36	23.84	+	1.51	2.09E-03	1.80E-02
embryonic placenta development (GO:0001892)	90	54	35.76	+	1.51	1.30E-04	1.64E-03
positive regulation of stem cell population maintenance (GO:1902459)	50	30	19.87	+	1.51	5.39E-03	3.96E-02
mRNA export from nucleus (GO:0006406)	70	42	27.81	+	1.51	8.22E-04	8.06E-03
positive regulation of protein polymerization (GO:0032273)	90	54	35.76	+	1.51	1.30E-04	1.63E-03
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	60	36	23.84	+	1.51	2.09E-03	1.80E-02
cytoplasmic microtubule organization (GO:0031122)	70	42	27.81	+	1.51	8.22E-04	8.05E-03
regulation of muscle cell apoptotic process (GO:0010660)	70	42	27.81	+	1.51	8.22E-04	8.05E-03
gland morphogenesis (GO:0022612)	105	63	41.72	+	1.51	3.30E-05	4.75E-04
regulation of Rho protein signal transduction (GO:0035023)	90	54	35.76	+	1.51	1.30E-04	1.63E-03
regulation of protein targeting (GO:1903533)	80	48	31.79	+	1.51	3.26E-04	3.70E-03
membrane lipid catabolic process (GO:0046466)	50	30	19.87	+	1.51	5.39E-03	3.96E-02
regulation of cell cycle G1/S phase transition (GO:1902806)	190	114	75.49	+	1.51	1.60E-08	4.17E-07
regulation of neuron apoptotic process (GO:0043523)	252	151	100.13	+	1.51	8.52E-11	2.95E-09
response to growth factor (GO:0070848)	484	290	192.31	+	1.51	1.43E-19	1.04E-17
cell surface receptor protein tyrosine kinase signaling pathway (GO:0007169)	429	257	170.45	+	1.51	2.04E-17	1.29E-15
tube formation (GO:0035148)	147	88	58.41	+	1.51	1.03E-06	2.01E-05
organelle localization (GO:0051640)	558	334	221.71	+	1.51	3.22E-22	2.74E-20
osteoblast differentiation (GO:0001649)	137	82	54.43	+	1.51	2.54E-06	4.55E-05
negative regulation of epithelial cell proliferation (GO:0050680)	122	73	48.47	+	1.51	9.89E-06	1.60E-04
phosphorylation (GO:0016310)	361	216	143.44	+	1.51	9.04E-15	4.64E-13
regulation of viral life cycle (GO:1903900)	112	67	44.50	+	1.51	2.46E-05	3.64E-04
regulation of phosphorylation (GO:0042325)	438	262	174.03	+	1.51	1.21E-17	7.82E-16
artery development (GO:0060840)	107	64	42.51	+	1.51	3.88E-05	5.55E-04
regulation of protein phosphorylation (GO:0001932)	393	235	156.15	+	1.50	6.94E-16	3.81E-14
RNA localization (GO:0006403)	189	113	75.09	+	1.50	3.29E-08	8.18E-07
RNA export from nucleus (GO:0006405)	87	52	34.57	+	1.50	1.67E-04	2.06E-03
negative regulation of protein-containing complex disassembly (GO:0043242)	82	49	32.58	+	1.50	2.64E-04	3.09E-03
response to starvation (GO:0042594)	231	138	91.78	+	1.50	7.42E-10	2.26E-08
organelle localization by membrane tethering (GO:0140056)	77	46	30.59	+	1.50	4.17E-04	4.59E-03
glycerolipid biosynthetic process (GO:0045017)	216	129	85.82	+	1.50	2.82E-09	8.21E-08
positive regulation of cell projection organization (GO:0031346)	350	209	139.06	+	1.50	3.23E-14	1.60E-12
multicellular organism growth (GO:0035264)	119	71	47.28	+	1.50	1.24E-05	1.96E-04
vasculature development (GO:0001944)	565	337	224.49	+	1.50	4.06E-22	3.39E-20
regulation of supramolecular fiber organization (GO:1902903)	389	232	154.56	+	1.50	1.82E-15	9.68E-14
RNA transport (GO:0050658)	161	96	63.97	+	1.50	3.85E-07	8.18E-06
nucleic acid transport (GO:0050657)	161	96	63.97	+	1.50	3.85E-07	8.17E-06
establishment or maintenance of cell polarity (GO:0007163)	213	127	84.63	+	1.50	4.99E-09	1.40E-07
somatic diversification of immune receptors (GO:0002200)	52	31	20.66	+	1.50	4.25E-03	3.27E-02
double-strand break repair via nonhomologous end joining (GO:0006303)	52	31	20.66	+	1.50	4.25E-03	3.27E-02
regulation of establishment of protein localization to mitochondrion (GO:1903747)	52	31	20.66	+	1.50	4.25E-03	3.27E-02
negative regulation of supramolecular fiber organization (GO:1902904)	156	93	61.98	+	1.50	6.04E-07	1.23E-05
endocardial cushion development (GO:0003197)	52	31	20.66	+	1.50	4.25E-03	3.27E-02
intracellular receptor signaling pathway (GO:0030522)	203	121	80.66	+	1.50	1.22E-08	3.25E-07
nucleic acid catabolic process (GO:0141188)	245	146	97.35	+	1.50	3.93E-10	1.25E-08
L-amino acid biosynthetic process (GO:0170034)	47	28	18.67	+	1.50	6.82E-03	4.84E-02
monosaccharide biosynthetic process (GO:0046364)	47	28	18.67	+	1.50	6.82E-03	4.84E-02
blood vessel development (GO:0001568)	539	321	214.16	+	1.50	5.72E-21	4.60E-19
establishment of RNA localization (GO:0051236)	163	97	64.76	+	1.50	4.47E-07	9.34E-06
neural tube development (GO:0021915)	163	97	64.76	+	1.50	4.47E-07	9.33E-06
positive regulation of neurogenesis (GO:0050769)	217	129	86.22	+	1.50	4.61E-09	1.30E-07
regulation of protein modification process (GO:0031399)	651	387	258.66	+	1.50	9.67E-25	9.56E-23
regulation of amide metabolic process (GO:0034248)	69	41	27.42	+	1.50	1.19E-03	1.12E-02
intracellular protein transport (GO:0006886)	547	325	217.34	+	1.50	6.70E-21	5.29E-19
protein localization to plasma membrane (GO:0072659)	197	117	78.27	+	1.49	2.76E-08	6.94E-07
alcohol biosynthetic process (GO:0046165)	96	57	38.14	+	1.49	1.39E-04	1.73E-03
regulation of cytoskeleton organization (GO:0051493)	544	323	216.15	+	1.49	8.60E-21	6.69E-19
positive regulation of actin filament bundle assembly (GO:0032233)	64	38	25.43	+	1.49	1.90E-03	1.65E-02
negative regulation of protein metabolic process (GO:0051248)	556	330	220.91	+	1.49	3.89E-21	3.14E-19
vacuole organization (GO:0007033)	214	127	85.03	+	1.49	8.31E-09	2.27E-07
response to decreased oxygen levels (GO:0036293)	295	175	117.21	+	1.49	1.05E-11	4.05E-10
mitochondrion localization (GO:0051646)	59	35	23.44	+	1.49	3.04E-03	2.48E-02
actin polymerization or depolymerization (GO:0008154)	59	35	23.44	+	1.49	3.04E-03	2.48E-02
establishment of organelle localization (GO:0051656)	349	207	138.67	+	1.49	1.11E-13	5.26E-12
positive regulation of protein localization to membrane (GO:1905477)	86	51	34.17	+	1.49	3.48E-04	3.89E-03
response to insulin (GO:0032868)	226	134	89.80	+	1.49	2.74E-09	7.98E-08
regulation of organelle organization (GO:0033043)	1191	706	473.22	+	1.49	1.62E-44	3.68E-42
sphingolipid metabolic process (GO:0006665)	162	96	64.37	+	1.49	6.39E-07	1.29E-05
pigmentation (GO:0043473)	108	64	42.91	+	1.49	4.47E-05	6.28E-04
positive regulation of mRNA catabolic process (GO:0061014)	108	64	42.91	+	1.49	4.47E-05	6.27E-04
positive regulation of protein kinase activity (GO:0045860)	130	77	51.65	+	1.49	8.29E-06	1.36E-04
positive regulation of JNK cascade (GO:0046330)	103	61	40.92	+	1.49	7.03E-05	9.48E-04
embryonic epithelial tube formation (GO:0001838)	125	74	49.67	+	1.49	1.30E-05	2.04E-04
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	98	58	38.94	+	1.49	1.11E-04	1.42E-03
DNA-templated transcription elongation (GO:0006354)	71	42	28.21	+	1.49	9.76E-04	9.41E-03
regulation of axonogenesis (GO:0050770)	142	84	56.42	+	1.49	3.88E-06	6.70E-05
response to oxygen levels (GO:0070482)	323	191	128.34	+	1.49	1.50E-12	6.33E-11
regulation of actin filament organization (GO:0110053)	269	159	106.88	+	1.49	1.41E-10	4.73E-09
positive regulation of endothelial cell proliferation (GO:0001938)	88	52	34.96	+	1.49	2.75E-04	3.20E-03
host-mediated perturbation of symbiont process (GO:0051851)	110	65	43.71	+	1.49	5.06E-05	7.00E-04
carbohydrate derivative transport (GO:1901264)	88	52	34.96	+	1.49	2.75E-04	3.20E-03
protein autophosphorylation (GO:0046777)	110	65	43.71	+	1.49	5.06E-05	7.00E-04
hair cycle process (GO:0022405)	88	52	34.96	+	1.49	2.75E-04	3.20E-03
molting cycle process (GO:0022404)	88	52	34.96	+	1.49	2.75E-04	3.19E-03
Golgi vesicle transport (GO:0048193)	303	179	120.39	+	1.49	8.93E-12	3.48E-10
membrane assembly (GO:0071709)	61	36	24.24	+	1.49	2.46E-03	2.07E-02
alpha-amino acid biosynthetic process (GO:1901607)	61	36	24.24	+	1.49	2.46E-03	2.07E-02
embryonic digit morphogenesis (GO:0042733)	61	36	24.24	+	1.49	2.46E-03	2.07E-02
regulation of protein import into nucleus (GO:0042306)	61	36	24.24	+	1.49	2.46E-03	2.07E-02
cytoskeleton-dependent intracellular transport (GO:0030705)	212	125	84.23	+	1.48	1.69E-08	4.39E-07
cellular response to radiation (GO:0071478)	173	102	68.74	+	1.48	4.30E-07	9.05E-06
cardiac chamber development (GO:0003205)	173	102	68.74	+	1.48	4.30E-07	9.03E-06
transport along microtubule (GO:0010970)	190	112	75.49	+	1.48	8.96E-08	2.10E-06
heart development (GO:0007507)	570	336	226.48	+	1.48	7.92E-21	6.19E-19
vesicle cytoskeletal trafficking (GO:0099518)	56	33	22.25	+	1.48	3.92E-03	3.10E-02
viral life cycle (GO:0019058)	185	109	73.51	+	1.48	1.40E-07	3.17E-06
post-translational protein modification (GO:0043687)	837	493	332.56	+	1.48	4.57E-30	5.49E-28
regulation of cellular response to growth factor stimulus (GO:0090287)	326	192	129.53	+	1.48	2.76E-12	1.13E-10
organ growth (GO:0035265)	90	53	35.76	+	1.48	3.14E-04	3.57E-03
regulation of canonical Wnt signaling pathway (GO:0060828)	270	159	107.28	+	1.48	2.32E-10	7.58E-09
sphingolipid biosynthetic process (GO:0030148)	107	63	42.51	+	1.48	6.51E-05	8.83E-04
intracellular transport (GO:0046907)	1276	751	506.99	+	1.48	8.78E-46	2.06E-43
cellular response to peptide hormone stimulus (GO:0071375)	277	163	110.06	+	1.48	1.19E-10	4.03E-09
microtubule cytoskeleton organization (GO:0000226)	600	353	238.40	+	1.48	1.21E-21	1.00E-19
neutral amino acid transport (GO:0015804)	51	30	20.26	+	1.48	6.28E-03	4.54E-02
hair follicle development (GO:0001942)	85	50	33.77	+	1.48	4.97E-04	5.37E-03
endothelial cell differentiation (GO:0045446)	85	50	33.77	+	1.48	4.97E-04	5.37E-03
regulation of membrane lipid distribution (GO:0097035)	68	40	27.02	+	1.48	1.73E-03	1.52E-02
establishment of protein localization to organelle (GO:0072594)	352	207	139.86	+	1.48	4.80E-13	2.15E-11
rhythmic process (GO:0048511)	267	157	106.09	+	1.48	2.90E-10	9.33E-09
morphogenesis of embryonic epithelium (GO:0016331)	148	87	58.80	+	1.48	2.87E-06	5.08E-05
positive regulation of neuron projection development (GO:0010976)	148	87	58.80	+	1.48	2.87E-06	5.08E-05
protein localization to cell periphery (GO:1990778)	240	141	95.36	+	1.48	2.42E-09	7.06E-08
negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	63	37	25.03	+	1.48	2.76E-03	2.26E-02
mitochondrial transport (GO:0006839)	92	54	36.55	+	1.48	2.53E-04	2.99E-03
positive regulation of DNA-templated transcription initiation (GO:2000144)	75	44	29.80	+	1.48	1.25E-03	1.16E-02
response to hypoxia (GO:0001666)	283	166	112.44	+	1.48	1.22E-10	4.11E-09
cardiac ventricle development (GO:0003231)	133	78	52.84	+	1.48	1.10E-05	1.76E-04
cellular component disassembly (GO:0022411)	307	180	121.98	+	1.48	1.89E-11	7.11E-10
nuclear envelope organization (GO:0006998)	58	34	23.04	+	1.48	4.41E-03	3.37E-02
immune system development (GO:0002520)	174	102	69.13	+	1.48	4.91E-07	1.02E-05
vesicle docking (GO:0048278)	58	34	23.04	+	1.48	4.41E-03	3.36E-02
positive regulation of cell migration (GO:0030335)	551	323	218.93	+	1.48	1.83E-19	1.32E-17
MAPK cascade (GO:0000165)	186	109	73.90	+	1.47	2.25E-07	4.94E-06
spliceosomal snRNP assembly (GO:0000387)	70	41	27.81	+	1.47	1.99E-03	1.72E-02
circadian rhythm (GO:0007623)	140	82	55.63	+	1.47	7.86E-06	1.30E-04
regulation of protein polymerization (GO:0032271)	200	117	79.47	+	1.47	8.44E-08	1.99E-06
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	53	31	21.06	+	1.47	7.06E-03	4.99E-02
endothelial cell development (GO:0001885)	53	31	21.06	+	1.47	7.06E-03	4.98E-02
positive regulation of stress fiber assembly (GO:0051496)	53	31	21.06	+	1.47	7.06E-03	4.98E-02
response to cocaine (GO:0042220)	53	31	21.06	+	1.47	7.06E-03	4.98E-02
execution phase of apoptosis (GO:0097194)	53	31	21.06	+	1.47	7.06E-03	4.98E-02
positive regulation of establishment of protein localization (GO:1904951)	325	190	129.13	+	1.47	8.95E-12	3.48E-10
forebrain cell migration (GO:0021885)	65	38	25.83	+	1.47	3.17E-03	2.58E-02
positive regulation of protein localization (GO:1903829)	440	257	174.82	+	1.47	1.60E-15	8.56E-14
regulation of neurogenesis (GO:0050767)	351	205	139.46	+	1.47	1.55E-12	6.51E-11
mammary gland development (GO:0030879)	125	73	49.67	+	1.47	3.03E-05	4.40E-04
positive regulation of kinase activity (GO:0033674)	137	80	54.43	+	1.47	1.42E-05	2.21E-04
regulation of JNK cascade (GO:0046328)	149	87	59.20	+	1.47	4.57E-06	7.78E-05
protein modification by small protein conjugation or removal (GO:0070647)	783	457	311.11	+	1.47	1.03E-26	1.08E-24
fatty acid beta-oxidation (GO:0006635)	60	35	23.84	+	1.47	5.07E-03	3.76E-02
vasculogenesis (GO:0001570)	72	42	28.61	+	1.47	1.58E-03	1.41E-02
regulation of cell division (GO:0051302)	192	112	76.29	+	1.47	2.32E-07	5.07E-06
post-embryonic development (GO:0009791)	96	56	38.14	+	1.47	3.27E-04	3.70E-03
positive regulation of mRNA metabolic process (GO:1903313)	132	77	52.45	+	1.47	1.58E-05	2.44E-04
developmental growth involved in morphogenesis (GO:0060560)	132	77	52.45	+	1.47	1.58E-05	2.43E-04
cellular response to steroid hormone stimulus (GO:0071383)	156	91	61.98	+	1.47	3.30E-06	5.75E-05
negative regulation of MAPK cascade (GO:0043409)	163	95	64.76	+	1.47	1.72E-06	3.19E-05
tube morphogenesis (GO:0035239)	695	405	276.14	+	1.47	1.36E-23	1.27E-21
regulation of catabolic process (GO:0009894)	1090	635	433.09	+	1.47	1.20E-36	2.03E-34
response to activity (GO:0014823)	79	46	31.39	+	1.47	1.12E-03	1.06E-02
circadian regulation of gene expression (GO:0032922)	67	39	26.62	+	1.47	2.50E-03	2.10E-02
translational elongation (GO:0006414)	67	39	26.62	+	1.47	2.50E-03	2.10E-02
nucleobase-containing compound transport (GO:0015931)	232	135	92.18	+	1.46	1.48E-08	3.87E-07
cellular response to ketone (GO:1901655)	110	64	43.71	+	1.46	1.18E-04	1.50E-03
Wnt signaling pathway (GO:0016055)	270	157	107.28	+	1.46	8.62E-10	2.61E-08
organelle fission (GO:0048285)	358	208	142.24	+	1.46	1.78E-12	7.45E-11
regulation of Wnt signaling pathway (GO:0030111)	346	201	137.48	+	1.46	3.94E-12	1.59E-10
rRNA metabolic process (GO:0016072)	272	158	108.07	+	1.46	9.53E-10	2.87E-08
regulation of small GTPase mediated signal transduction (GO:0051056)	322	187	127.94	+	1.46	2.53E-11	9.32E-10
telencephalon cell migration (GO:0022029)	62	36	24.63	+	1.46	3.98E-03	3.09E-02
establishment of vesicle localization (GO:0051650)	174	101	69.13	+	1.46	1.11E-06	2.16E-05
endosomal transport (GO:0016197)	281	163	111.65	+	1.46	5.56E-10	1.72E-08
actomyosin structure organization (GO:0031032)	119	69	47.28	+	1.46	6.74E-05	9.12E-04
vascular transport (GO:0010232)	88	51	34.96	+	1.46	6.39E-04	6.50E-03
transport across blood-brain barrier (GO:0150104)	88	51	34.96	+	1.46	6.39E-04	6.50E-03
positive regulation of apoptotic process (GO:0043065)	516	299	205.02	+	1.46	3.46E-17	2.15E-15
negative regulation of phosphorylation (GO:0042326)	126	73	50.06	+	1.46	4.88E-05	6.79E-04
regulation of neuron projection development (GO:0010975)	435	252	172.84	+	1.46	1.25E-14	6.35E-13
neural crest cell migration (GO:0001755)	57	33	22.65	+	1.46	6.36E-03	4.59E-02
positive regulation of smooth muscle cell proliferation (GO:0048661)	76	44	30.20	+	1.46	1.44E-03	1.31E-02
positive regulation of DNA recombination (GO:0045911)	76	44	30.20	+	1.46	1.44E-03	1.31E-02
nuclear division (GO:0000280)	330	191	131.12	+	1.46	2.90E-11	1.06E-09
regulation of cell migration (GO:0030334)	952	551	378.26	+	1.46	7.17E-31	9.14E-29
protein catabolic process (GO:0030163)	852	493	338.52	+	1.46	1.41E-27	1.55E-25
placenta development (GO:0001890)	159	92	63.18	+	1.46	4.21E-06	7.22E-05
regulation of cell junction assembly (GO:1901888)	280	162	111.25	+	1.46	7.89E-10	2.39E-08
macromolecule catabolic process (GO:0009057)	1146	663	455.34	+	1.46	4.68E-37	8.10E-35
regulation of dendrite morphogenesis (GO:0048814)	64	37	25.43	+	1.46	4.49E-03	3.41E-02
positive regulation of neuron apoptotic process (GO:0043525)	64	37	25.43	+	1.46	4.49E-03	3.40E-02
regulation of MAP kinase activity (GO:0043405)	64	37	25.43	+	1.46	4.49E-03	3.40E-02
positive regulation of phosphorylation (GO:0042327)	256	148	101.72	+	1.46	5.07E-09	1.42E-07
regulation of protein metabolic process (GO:0051246)	1550	896	615.86	+	1.45	2.37E-50	6.89E-48
positive regulation of cellular component biogenesis (GO:0044089)	514	297	204.23	+	1.45	6.95E-17	4.12E-15
Notch signaling pathway (GO:0007219)	116	67	46.09	+	1.45	1.20E-04	1.53E-03
circulatory system development (GO:0072359)	954	551	379.05	+	1.45	1.78E-30	2.18E-28
proteasomal protein catabolic process (GO:0010498)	516	298	205.02	+	1.45	7.66E-17	4.53E-15
regulation of mRNA catabolic process (GO:0061013)	220	127	87.41	+	1.45	7.15E-08	1.70E-06
ossification (GO:0001503)	272	157	108.07	+	1.45	2.11E-09	6.20E-08
regulation of actin polymerization or depolymerization (GO:0008064)	149	86	59.20	+	1.45	1.03E-05	1.66E-04
response to steroid hormone (GO:0048545)	279	161	110.85	+	1.45	1.54E-09	4.57E-08
positive regulation of protein phosphorylation (GO:0001934)	234	135	92.97	+	1.45	2.69E-08	6.78E-07
spliceosomal complex assembly (GO:0000245)	78	45	30.99	+	1.45	1.59E-03	1.41E-02
intracellular protein localization (GO:0008104)	1875	1081	744.99	+	1.45	1.64E-60	6.62E-58
morphogenesis of a branching epithelium (GO:0061138)	170	98	67.55	+	1.45	2.72E-06	4.83E-05
gliogenesis (GO:0042063)	255	147	101.32	+	1.45	7.14E-09	1.97E-07
DNA metabolic process (GO:0006259)	779	449	309.52	+	1.45	1.06E-24	1.04E-22
roof of mouth development (GO:0060021)	92	53	36.55	+	1.45	5.77E-04	6.02E-03
regulation of phosphorus metabolic process (GO:0051174)	585	337	232.44	+	1.45	1.01E-18	6.80E-17
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	283	163	112.44	+	1.45	1.37E-09	4.09E-08
regulation of catalytic activity (GO:0050790)	528	304	209.79	+	1.45	7.81E-17	4.60E-15
regulation of cellular component biogenesis (GO:0044087)	1056	608	419.58	+	1.45	3.43E-33	4.89E-31
regulation of binding (GO:0051098)	99	57	39.34	+	1.45	4.09E-04	4.51E-03
positive regulation of catalytic activity (GO:0043085)	297	171	118.01	+	1.45	5.08E-10	1.58E-08
regulation of extent of cell growth (GO:0061387)	99	57	39.34	+	1.45	4.09E-04	4.50E-03
cartilage development (GO:0051216)	179	103	71.12	+	1.45	1.57E-06	2.95E-05
cardiac ventricle morphogenesis (GO:0003208)	73	42	29.00	+	1.45	2.52E-03	2.10E-02
