




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (8177)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of stress granule assembly (GO:0062028)	9	8	3.58	+	2.24	3.61E-03	2.87E-02
negative regulation of transcription initiation by RNA polymerase II (GO:0060633)	9	8	3.58	+	2.24	3.61E-03	2.87E-02
negative regulation of mitotic sister chromatid separation (GO:2000816)	33	29	13.11	+	2.21	1.37E-08	3.60E-07
negative regulation of mitotic sister chromatid segregation (GO:0033048)	33	29	13.11	+	2.21	1.37E-08	3.59E-07
negative regulation of sister chromatid segregation (GO:0033046)	33	29	13.11	+	2.21	1.37E-08	3.59E-07
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	33	29	13.11	+	2.21	1.37E-08	3.58E-07
positive regulation of neuron migration (GO:2001224)	16	14	6.36	+	2.20	1.16E-04	1.48E-03
regulation of PERK-mediated unfolded protein response (GO:1903897)	16	14	6.36	+	2.20	1.16E-04	1.48E-03
striated muscle cell proliferation (GO:0014855)	24	21	9.54	+	2.20	1.83E-06	3.38E-05
negative regulation of mitotic nuclear division (GO:0045839)	40	35	15.89	+	2.20	5.18E-10	1.61E-08
spindle checkpoint signaling (GO:0031577)	31	27	12.32	+	2.19	6.73E-08	1.61E-06
positive regulation of cholesterol biosynthetic process (GO:0045542)	15	13	5.96	+	2.18	2.56E-04	3.02E-03
negative regulation of extracellular matrix organization (GO:1903054)	15	13	5.96	+	2.18	2.56E-04	3.02E-03
negative regulation of cellular response to vascular endothelial growth factor stimulus (GO:1902548)	15	13	5.96	+	2.18	2.56E-04	3.02E-03
